コード,銘柄名,市場,現在値,前日比(%),時価総額(百万円),時価総額(億円),時価総額(兆円),ランク
156A,マテリアルグループ,東G,810,-19.0(-2.29%),"8,001",80,0.08,07_100億未満
157A,グリーンモンスター,東G,890,-37.0(-3.99%),"2,950",30,0.03,07_100億未満
1605,ＩＮＰＥＸ,東P,3648,-59.0(-1.59%),"4,593,328","45,933",45.93,02_1兆以上~10兆未満
160A,アズパートナーズ,東S,1966,-25.0(-1.26%),"7,053",71,0.07,07_100億未満
1662,石油資源開発,東P,1721,-39.0(-2.22%),"442,298","4,423",4.42,04_1000億以上~5000億未満
1663,Ｋ＆Ｏエナジーグループ,東P,4070,-105.0(-2.51%),"115,328","1,153",1.15,04_1000億以上~5000億未満
166A,タスキＨＬＤＧ,東G,940,-16.0(-1.67%),"58,031",580,0.58,05_500億以上~1000億未満
167A,リョーサン菱洋ＨＬＤＧ,東P,2819,-31.0(-1.09%),"140,950","1,410",1.41,04_1000億以上~5000億未満
168A,イタミアート,東G,1136,-7.0(-0.61%),"1,670",17,0.02,07_100億未満
1711,ＳＤＳＨＬＤＧ,東S,215,-2.0(-0.92%),"2,243",22,0.02,07_100億未満
1716,第一カッター興業,東S,1399,+13.0(+0.94%),"16,788",168,0.17,06_100億以上~500億未満
1717,明豊ファシリティワークス,東S,883,-21.0(-2.32%),"11,281",113,0.11,06_100億以上~500億未満
1718,美樹工業,東S,-,- (-%),"8,107",81,0.08,07_100億未満
1719,安藤・間,東P,1719.5,-21.5(-1.23%),"311,266","3,113",3.11,04_1000億以上~5000億未満
1720,東急建設,東P,1112,-2.0(-0.18%),"118,718","1,187",1.19,04_1000億以上~5000億未満
1721,コムシスＨＬＤＧ,東P,5368,-93.0(-1.70%),"633,424","6,334",6.33,03_5000億以上~1兆未満
1723,日本電技,東S,2211,+49.0(+2.27%),"144,997","1,450",1.45,04_1000億以上~5000億未満
1724,シンクレイヤ,東S,695,-3.0(-0.43%),"3,297",33,0.03,07_100億未満
1736,オーテック,東S,2296,-3.0(-0.13%),"39,262",393,0.39,06_100億以上~500億未満
173A,ハンモック,東G,1338,+3.0(+0.22%),"5,834",58,0.06,07_100億未満
1758,太洋基礎工業,東S,2490,+29.0(+1.18%),"6,122",61,0.06,07_100億未満
175A,Ｗｉｌｌ　Ｓｍａｒｔ,東G,623,-13.0(-2.04%),"1,343",13,0.01,07_100億未満
1762,高松コンストラクショングループ,東P,3325,-45.0(-1.34%),"115,772","1,158",1.16,04_1000億以上~5000億未満
1764,工藤建設,東S,2916,-9.0(-0.31%),"3,882",39,0.04,07_100億未満
1766,東建コーポレーション,東P,12000,-150.0(-1.23%),"161,664","1,617",1.62,04_1000億以上~5000億未満
1768,ソネック,東S,1002,+9.0(+0.91%),"7,515",75,0.08,07_100億未満
1770,藤田エンジニアリング,東S,1746,+66.0(+3.93%),"17,809",178,0.18,06_100億以上~500億未満
1773,ワイ・ティー・エル,東P,81,-1.0(-1.22%),"946,284","9,463",9.46,03_5000億以上~1兆未満
177A,コージンバイオ,東G,1024,+8.0(+0.79%),"5,234",52,0.05,07_100億未満
1780,ヤマウラ,東P,1339,+1.0(+0.07%),"28,258",283,0.28,06_100億以上~500億未満
1783,ｆａｎｔａｓｉｓｔａ,東S,54,-4.0(-6.90%),"10,439",104,0.10,06_100億以上~500億未満
1786,オリエンタル白石,東P,320,-3.0(-0.93%),"44,419",444,0.44,06_100億以上~500億未満
1787,ナカボーテック,東S,5190,-20.0(-0.38%),"13,507",135,0.14,06_100億以上~500億未満
1788,三東工業社,東S,4500,-45.0(-0.99%),"3,087",31,0.03,07_100億未満
1793,大本組,東S,1848,-13.0(-0.70%),"49,516",495,0.50,06_100億以上~500億未満
1795,マサル,東S,4785,+0.0(+0.00%),"4,312",43,0.04,07_100億未満
1798,守谷商会,東S,1005,+20.0(+2.03%),"11,356",114,0.11,06_100億以上~500億未満
1799,第一建設工業,東S,3215,+30.0(+0.94%),"67,060",671,0.67,05_500億以上~1000億未満
1801,大成建設,東P,13055,+215.0(+1.67%),"2,130,392","21,304",21.30,02_1兆以上~10兆未満
1802,大林組,東P,3087,-26.0(-0.84%),"2,135,621","21,356",21.36,02_1兆以上~10兆未満
1803,清水建設,東P,2463,-16.0(-0.65%),"1,765,206","17,652",17.65,02_1兆以上~10兆未満
1807,佐藤渡辺,東S,1845,+12.0(+0.65%),"11,792",118,0.12,06_100億以上~500億未満
1808,長谷工コーポレーション,東P,2626.5,-3.5(-0.13%),"768,198","7,682",7.68,03_5000億以上~1兆未満
1810,松井建設,東S,1305,-10.0(-0.76%),"39,907",399,0.40,06_100億以上~500億未満
1811,錢高組,東S,7650,-10.0(-0.13%),"56,252",563,0.56,05_500億以上~1000億未満
1812,鹿島建設,東P,5455,-80.0(-1.45%),"2,883,818","28,838",28.84,02_1兆以上~10兆未満
1813,不動テトラ,東P,2649,+1.0(+0.04%),"43,681",437,0.44,06_100億以上~500億未満
1814,大末建設,東P,3105,-80.0(-2.51%),"32,957",330,0.33,06_100億以上~500億未満
1815,鉄建建設,東P,4185,-145.0(-3.35%),"62,666",627,0.63,05_500億以上~1000億未満
1820,西松建設,東P,5243,+1.0(+0.02%),"219,113","2,191",2.19,04_1000億以上~5000億未満
1822,大豊建設,東S,719,-1.0(-0.14%),"64,002",640,0.64,05_500億以上~1000億未満
1826,佐田建設,東S,975,-5.0(-0.51%),"13,052",131,0.13,06_100億以上~500億未満
1827,ナカノフドー建設,東S,1178,-85.0(-6.73%),"40,639",406,0.41,06_100億以上~500億未満
1828,田辺工業,東S,2236,+9.0(+0.40%),"23,988",240,0.24,06_100億以上~500億未満
1833,奥村組,東P,5480,-70.0(-1.26%),"211,885","2,119",2.12,04_1000億以上~5000億未満
1835,東鉄工業,東P,4025,-5.0(-0.12%),"145,302","1,453",1.45,04_1000億以上~5000億未満
1840,土屋ＨＬＤＧ,東S,229,+1.0(+0.44%),"5,903",59,0.06,07_100億未満
1844,大盛工業,東S,499,-5.0(-0.99%),"9,349",93,0.09,07_100億未満
1847,イチケン,東S,2512,-68.0(-2.64%),"36,597",366,0.37,06_100億以上~500億未満
1848,富士ピー・エス,東S,597,+4.0(+0.67%),"11,106",111,0.11,06_100億以上~500億未満
184A,学びエイド,東G,333,-6.0(-1.77%),"1,137",11,0.01,07_100億未満
1850,南海辰村建設,東S,396,+5.0(+1.28%),"11,181",112,0.11,06_100億以上~500億未満
1852,淺沼組,東P,776,-4.0(-0.51%),"62,690",627,0.63,05_500億以上~1000億未満
1853,森組,東S,311,-1.0(-0.32%),"10,201",102,0.10,06_100億以上~500億未満
1860,戸田建設,東P,1538.5,-29.0(-1.85%),"489,252","4,893",4.89,04_1000億以上~5000億未満
1861,熊谷組,東P,1350,-13.0(-0.95%),"233,742","2,337",2.34,04_1000億以上~5000億未満
1866,北野建設,東S,989,+7.0(+0.71%),"25,069",251,0.25,06_100億以上~500億未満
1867,植木組,東S,2301,+18.0(+0.79%),"15,816",158,0.16,06_100億以上~500億未満
186A,アストロスケールＨＬＤＧ,東G,1955,-110.0(-5.33%),"265,695","2,657",2.66,04_1000億以上~5000億未満
1870,矢作建設工業,東P,1796,-15.0(-0.83%),"80,115",801,0.80,05_500億以上~1000億未満
1871,ピーエス・コンストラクション,東P,2081,+8.0(+0.39%),"98,818",988,0.99,05_500億以上~1000億未満
1873,日本ハウスＨＬＤＧ,東P,290,-2.0(-0.68%),"11,600",116,0.12,06_100億以上~500億未満
1878,大東建託,東P,2921,-94.0(-3.12%),"1,006,562","10,066",10.07,02_1兆以上~10兆未満
1879,新日本建設,東P,2187,+18.0(+0.83%),"134,196","1,342",1.34,04_1000億以上~5000億未満
1882,東亜道路工業,東P,1483,-3.0(-0.20%),"74,735",747,0.75,05_500億以上~1000億未満
1885,東亜建設工業,東P,2158,-24.0(-1.10%),"189,858","1,899",1.90,04_1000億以上~5000億未満
1887,日本国土開発,東P,517,-14.0(-2.64%),"46,145",461,0.46,06_100億以上~500億未満
1888,若築建設,東P,3290,+10.0(+0.30%),"42,655",427,0.43,06_100億以上~500億未満
1893,五洋建設,東P,1608.5,-11.0(-0.68%),"460,053","4,601",4.60,04_1000億以上~5000億未満
1897,金下建設,東S,3130,+0.0(+0.00%),"11,915",119,0.12,06_100億以上~500億未満
1898,世紀東急工業,東P,1395,-15.0(-1.06%),"52,207",522,0.52,05_500億以上~1000億未満
1899,福田組,東P,7200,+20.0(+0.28%),"64,714",647,0.65,05_500億以上~1000億未満
189A,Ｄ＆Ｍカンパニー,東G,906,+17.0(+1.91%),"2,097",21,0.02,07_100億未満
1904,大成温調,東S,4895,+15.0(+0.31%),"33,690",337,0.34,06_100億以上~500億未満
1905,テノックス,東S,1472,+22.0(+1.52%),"10,816",108,0.11,06_100億以上~500億未満
1909,日本ドライケミカル,東S,3730,-10.0(-0.27%),"107,153","1,072",1.07,04_1000億以上~5000億未満
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ,東G,99,-2.0(-1.98%),"7,649",76,0.08,07_100億未満
1911,住友林業,東P,1284,-15.5(-1.19%),"794,239","7,942",7.94,03_5000億以上~1兆未満
1914,日本基礎技術,東S,655,-38.0(-5.48%),"19,222",192,0.19,06_100億以上~500億未満
1921,巴コーポレーション,東S,1729,+6.0(+0.35%),"58,440",584,0.58,05_500億以上~1000億未満
1925,大和ハウス工業,東P,4227,-38.0(-0.89%),"2,788,282","27,883",27.88,02_1兆以上~10兆未満
1926,ライト工業,東P,4025,-105.0(-2.54%),"172,956","1,730",1.73,04_1000億以上~5000億未満
1928,積水ハウス,東P,3294,+13.0(+0.40%),"2,146,323","21,463",21.46,02_1兆以上~10兆未満
1929,日特建設,東P,1094,-2.0(-0.18%),"45,702",457,0.46,06_100億以上~500億未満
192A,インテグループ,東G,1357,+3.0(+0.22%),"2,962",30,0.03,07_100億未満
1930,北陸電気工事,東P,1552,-30.0(-1.90%),"46,504",465,0.47,06_100億以上~500億未満
1934,ユアテック,東P,2315,+0.0(+0.00%),"160,178","1,602",1.60,04_1000億以上~5000億未満
1938,日本リーテック,東P,2763,+58.0(+2.14%),"69,400",694,0.69,05_500億以上~1000億未満
1939,四電工,東P,1812,-18.0(-0.98%),"88,365",884,0.88,05_500億以上~1000億未満
1941,中電工,東P,4830,+55.0(+1.15%),"280,807","2,808",2.81,04_1000億以上~5000億未満
1942,関電工,東P,5786,-16.0(-0.28%),"1,187,798","11,878",11.88,02_1兆以上~10兆未満
1944,きんでん,東P,6563,+30.0(+0.46%),"1,312,299","13,123",13.12,02_1兆以上~10兆未満
1945,東京エネシス,東P,2230,-71.0(-3.09%),"74,089",741,0.74,05_500億以上~1000億未満
1946,トーエネック,東P,2040,-20.0(-0.97%),"197,166","1,972",1.97,04_1000億以上~5000億未満
1948,弘電社,東S,11480,+10.0(+0.09%),"102,976","1,030",1.03,04_1000億以上~5000億未満
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,東G,1202,-24.0(-1.96%),"9,585",96,0.10,07_100億未満
1950,日本電設工業,東P,4290,+20.0(+0.47%),"263,995","2,640",2.64,04_1000億以上~5000億未満
1951,エクシオグループ,東P,2794.5,-28.5(-1.01%),"574,619","5,746",5.75,03_5000億以上~1兆未満
1952,新日本空調,東P,3215,+15.0(+0.47%),"156,135","1,561",1.56,04_1000億以上~5000億未満
1959,クラフティア,東P,8628,-52.0(-0.60%),"611,423","6,114",6.11,03_5000億以上~1兆未満
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,東G,670,-27.0(-3.87%),"2,290",23,0.02,07_100億未満
1960,サンテック,東S,1395,-4.0(-0.29%),"22,320",223,0.22,06_100億以上~500億未満
1961,三機工業,東P,2253,+93.0(+4.31%),"362,696","3,627",3.63,04_1000億以上~5000億未満
1963,日揮ＨＬＤＧ,東P,2597,-61.5(-2.31%),"634,429","6,344",6.34,03_5000億以上~1兆未満
1964,中外炉工業,東P,4065,-130.0(-3.10%),"31,707",317,0.32,06_100億以上~500億未満
1965,テクノ菱和,東S,5830,-80.0(-1.35%),"123,763","1,238",1.24,04_1000億以上~5000億未満
1966,高田工業所,東S,1600,+1.0(+0.06%),"11,735",117,0.12,06_100億以上~500億未満
1967,ヤマト,東S,2061,+7.0(+0.34%),"49,727",497,0.50,06_100億以上~500億未満
1968,太平電業,東P,2565,-28.0(-1.08%),"167,228","1,672",1.67,04_1000億以上~5000億未満
1969,高砂熱学工業,東P,4545,-27.0(-0.59%),"638,476","6,385",6.38,03_5000億以上~1兆未満
196A,ＭＦＳ,東G,287,+0.0(+0.00%),"2,927",29,0.03,07_100億未満
1972,三晃金属工業,東S,1188,+1.0(+0.08%),"23,522",235,0.24,06_100億以上~500億未満
1975,朝日工業社,東P,3790,-40.0(-1.04%),"103,088","1,031",1.03,04_1000億以上~5000億未満
1976,明星工業,東P,1667,-4.0(-0.24%),"91,880",919,0.92,05_500億以上~1000億未満
1979,大氣社,東P,4375,+0.0(+0.00%),"277,655","2,777",2.78,04_1000億以上~5000億未満
197A,タウンズ,東S,489,-2.0(-0.41%),"52,101",521,0.52,05_500億以上~1000億未満
1980,ダイダン,東P,2390,+33.0(+1.40%),"329,560","3,296",3.30,04_1000億以上~5000億未満
1981,協和日成,東S,1301,-4.0(-0.31%),"13,455",135,0.13,06_100億以上~500億未満
1982,日比谷総合設備,東P,2924,+11.0(+0.38%),"128,656","1,287",1.29,04_1000億以上~5000億未満
198A,ＰｏｓｔＰｒｉｍｅ,東G,143,-4.0(-2.72%),"1,466",15,0.01,07_100億未満
1992,神田通信機,東S,-,- (-%),"7,235",72,0.07,07_100億未満
1994,高橋カーテンウォール工業,東S,557,-6.0(-1.07%),"5,321",53,0.05,07_100億未満
1997,暁飯島工業,東S,3680,+155.0(+4.40%),"8,096",81,0.08,07_100億未満
2001,ニップン,東P,2594,+2.0(+0.08%),"219,782","2,198",2.20,04_1000億以上~5000億未満
2002,日清製粉グループ本社,東P,1896.5,-22.0(-1.15%),"535,025","5,350",5.35,03_5000億以上~1兆未満
2003,日東富士製粉,東S,1652,-26.0(-1.55%),"62,014",620,0.62,05_500億以上~1000億未満
2004,昭和産業,東P,3150,-20.0(-0.63%),"103,936","1,039",1.04,04_1000億以上~5000億未満
2009,鳥越製粉,東S,1072,-2.0(-0.19%),"27,911",279,0.28,06_100億以上~500億未満
2053,中部飼料,東P,1689,-29.0(-1.69%),"51,298",513,0.51,05_500億以上~1000億未満
2055,日和産業,東S,319,-2.0(-0.62%),"6,645",66,0.07,07_100億未満
205A,ロゴスＨＬＤＧ,東G,1591,-18.0(-1.12%),"6,243",62,0.06,07_100億未満
2060,フィード・ワン,東P,1144,-21.0(-1.80%),"44,018",440,0.44,06_100億以上~500億未満
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,東G,141,-2.0(-1.40%),"5,212",52,0.05,07_100億未満
208A,構造計画研究所ＨＬＤＧ,東S,2900,+25.0(+0.87%),"31,900",319,0.32,06_100億以上~500億未満
2108,日本甜菜製糖,東P,4215,-25.0(-0.59%),"52,635",526,0.53,05_500億以上~1000億未満
2109,ＤＭ三井製糖,東P,3210,-10.0(-0.31%),"101,002","1,010",1.01,04_1000億以上~5000億未満
2112,塩水港精糖,東S,415,-6.0(-1.43%),"14,525",145,0.15,06_100億以上~500億未満
2114,フジ日本,東S,609,-3.0(-0.49%),"31,325",313,0.31,06_100億以上~500億未満
2117,ウェルネオシュガー,東P,2511,-23.0(-0.91%),"82,361",824,0.82,05_500億以上~1000億未満
211A,カドス,東S,3295,-50.0(-1.49%),"3,336",33,0.03,07_100億未満
2120,ＬＩＦＵＬＬ,東P,186,-7.0(-3.63%),"25,033",250,0.25,06_100億以上~500億未満
2121,ＭＩＸＩ,東P,2655,-31.0(-1.15%),"181,949","1,819",1.82,04_1000億以上~5000億未満
2122,インタースペース,東S,1256,+30.0(+2.45%),"8,751",88,0.09,07_100億未満
2124,ジェイエイシーリクルートメント,東P,849,-12.0(-1.39%),"140,558","1,406",1.41,04_1000億以上~5000億未満
2127,日本Ｍ＆ＡセンターＨＬＤＧ,東P,624,-21.0(-3.26%),"210,247","2,102",2.10,04_1000億以上~5000億未満
212A,フィットイージー,東P,2156,-26.0(-1.19%),"35,993",360,0.36,06_100億以上~500億未満
2130,メンバーズ,東P,948,-57.0(-5.67%),"12,725",127,0.13,06_100億以上~500億未満
2134,北浜キャピタルパートナーズ,東S,25,-1.0(-3.85%),"13,692",137,0.14,06_100億以上~500億未満
2136,ヒップ,東S,1375,+22.0(+1.63%),"5,466",55,0.05,07_100億未満
2138,クルーズ,東S,476,+0.0(+0.00%),"6,168",62,0.06,07_100億未満
2139,中広,東S,485,-6.0(-1.22%),"3,416",34,0.03,07_100億未満
2146,ＵＴグループ,東P,176,-2.0(-1.12%),"105,810","1,058",1.06,04_1000億以上~5000億未満
2148,アイティメディア,東P,1124,-23.0(-2.01%),"23,744",237,0.24,06_100億以上~500億未満
2152,幼児活動研究会,東S,1496,+19.0(+1.29%),"17,629",176,0.18,06_100億以上~500億未満
2153,Ｅ・Ｊ　ＨＬＤＧ,東P,1552,-17.0(-1.08%),"28,524",285,0.29,06_100億以上~500億未満
2154,オープンアップグループ,東P,1849,-20.0(-1.07%),"167,931","1,679",1.68,04_1000億以上~5000億未満
2156,セーラー広告,東S,266,-3.0(-1.12%),"1,617",16,0.02,07_100億未満
2157,コシダカＨＬＤＧ,東P,921,+1.0(+0.11%),"77,572",776,0.78,05_500億以上~1000億未満
2158,ＦＲＯＮＴＥＯ,東G,573,-8.0(-1.38%),"22,583",226,0.23,06_100億以上~500億未満
215A,タイミー,東G,1033,-27.0(-2.55%),"104,068","1,041",1.04,04_1000億以上~5000億未満
2160,ジーエヌアイグループ,東G,2684,+59.0(+2.25%),"149,840","1,498",1.50,04_1000億以上~5000億未満
2162,ｎｍｓ　ＨＬＤＧ,東S,538,+0.0(+0.00%),"11,627",116,0.12,06_100億以上~500億未満
2163,アルトナー,東P,1894,-15.0(-0.79%),"20,129",201,0.20,06_100億以上~500億未満
2164,地域新聞社,東S,290,-5.0(-1.69%),"2,431",24,0.02,07_100億未満
2168,パソナグループ,東P,1495,+15.0(+1.01%),"60,084",601,0.60,05_500億以上~1000億未満
2169,ＣＤＳ,東S,1755,+0.0(+0.00%),"12,152",122,0.12,06_100億以上~500億未満
2170,リンクアンドモチベーション,東P,553,-7.0(-1.25%),"61,348",613,0.61,05_500億以上~1000億未満
2173,博展,東G,653,-17.0(-2.54%),"10,640",106,0.11,06_100億以上~500億未満
2175,エス・エム・エス,東P,2001,-26.0(-1.28%),"175,211","1,752",1.75,04_1000億以上~5000億未満
2179,成学社,東S,764,-16.0(-2.05%),"4,489",45,0.04,07_100億未満
2180,サニーサイドアップグループ,東S,1317,+1.0(+0.08%),"20,015",200,0.20,06_100億以上~500億未満
2181,パーソルＨＬＤＧ,東P,235.8,+1.4(+0.60%),"537,256","5,373",5.37,03_5000億以上~1兆未満
2183,リニカル,東S,214,-6.0(-2.73%),"5,294",53,0.05,07_100億未満
2185,シイエム・シイ,東S,1810,-10.0(-0.55%),"25,999",260,0.26,06_100億以上~500億未満
2186,ソーバル,東S,899,+3.0(+0.33%),"7,343",73,0.07,07_100億未満
218A,Ｌｉｂｅｒａｗａｒｅ,東G,1133,-77.0(-6.36%),"22,250",223,0.22,06_100億以上~500億未満
2193,クックパッド,東S,120,-4.0(-3.23%),"9,457",95,0.09,07_100億未満
2195,アミタＨＬＤＧ,東G,375,-9.0(-2.34%),"6,584",66,0.07,07_100億未満
2198,アイ・ケイ・ケイＨＬＤＧ,東P,790,-3.0(-0.38%),"23,666",237,0.24,06_100億以上~500億未満
219A,Ｈｅａｒｔｓｅｅｄ,東G,1565,-55.0(-3.40%),"35,798",358,0.36,06_100億以上~500億未満
2201,森永製菓,東P,2437.5,-47.0(-1.89%),"209,897","2,099",2.10,04_1000億以上~5000億未満
2204,中村屋,東S,3050,-25.0(-0.81%),"18,227",182,0.18,06_100億以上~500億未満
2206,江崎グリコ,東P,5229,-143.0(-2.66%),"358,022","3,580",3.58,04_1000億以上~5000億未満
2207,ｍｅｉｔｏ,東P,2912,-24.0(-0.82%),"48,490",485,0.48,06_100億以上~500億未満
2208,ブルボン,東S,2860,-15.0(-0.52%),"79,222",792,0.79,05_500億以上~1000億未満
2209,井村屋グループ,東P,2199,-15.0(-0.68%),"28,777",288,0.29,06_100億以上~500億未満
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,東S,917,-29.0(-3.07%),"2,751",28,0.03,07_100億未満
2211,不二家,東P,2268,-16.0(-0.70%),"58,480",585,0.58,05_500億以上~1000億未満
2212,山崎製パン,東P,3020,-2.0(-0.07%),"665,254","6,653",6.65,03_5000億以上~1兆未満
2215,第一屋製パン,東S,603,+1.0(+0.17%),"4,179",42,0.04,07_100億未満
2216,カンロ,東S,1047,-16.0(-1.51%),"48,106",481,0.48,06_100億以上~500億未満
2217,モロゾフ,東P,1460,-17.0(-1.15%),"30,025",300,0.30,06_100億以上~500億未満
2220,亀田製菓,東P,1192,-17.0(-1.41%),"79,811",798,0.80,05_500億以上~1000億未満
2221,岩塚製菓,東S,3020,+0.0(+0.00%),"36,210",362,0.36,06_100億以上~500億未満
2222,寿スピリッツ,東P,2134,+24.5(+1.16%),"332,175","3,322",3.32,04_1000億以上~5000億未満
2224,コモ,東S,3525,-35.0(-0.98%),"12,796",128,0.13,06_100億以上~500億未満
2226,湖池屋,東S,4660,+0.0(+0.00%),"49,722",497,0.50,06_100億以上~500億未満
2229,カルビー,東P,2833,-46.0(-1.60%),"379,423","3,794",3.79,04_1000億以上~5000億未満
2264,森永乳業,東P,4859,-67.0(-1.36%),"418,748","4,187",4.19,04_1000億以上~5000億未満
2266,六甲バター,東P,1026,-12.0(-1.16%),"22,010",220,0.22,06_100億以上~500億未満
2267,ヤクルト本社,東P,2684.5,-29.5(-1.09%),"827,592","8,276",8.28,03_5000億以上~1兆未満
2268,Ｂ―Ｒ　サーティワン　アイス,東S,4105,+10.0(+0.24%),"39,591",396,0.40,06_100億以上~500億未満
2269,明治ＨＬＤＧ,東P,3669,-61.0(-1.64%),"1,035,392","10,354",10.35,02_1兆以上~10兆未満
