コード,銘柄名,市場,時価総額(百万円),時価総額(億円),時価総額(兆円),ランクCD,ランク
148A,ハッチ･ワーク,東G,3319,33.19,0,7,07_100億未満
1491,中外鉱業,東S,10069,100.69,0,6,06_100億以上_500億未満
149A,シンカ,東G,2492,24.92,0,7,07_100億未満
150A,JSH,東G,2017,20.17,0,7,07_100億未満
1514,住石HLDG,東S,36973,369.73,0,6,06_100億以上_500億未満
1515,日鉄鉱業,東P,192480,1924.8,0,4,04_1000億以上_5000億未満
1518,三井松島HLDG,東P,90275,902.75,0,5,05_500億以上_1000億未満
151A,ダイブ,東G,5135,51.35,0,7,07_100億未満
153A,カウリス,東G,11390,113.9,0,6,06_100億以上_500億未満
155A,情報戦略テクノロジー,東G,9030,90.3,0,7,07_100億未満
156A,マテリアルグループ,東G,8001,80.01,0,7,07_100億未満
157A,グリーンモンスター,東G,2950,29.5,0,7,07_100億未満
1605,INPEX,東P,4593328,45933.28,5,2,02_1兆以上_10兆未満
160A,アズパートナーズ,東S,7053,70.53,0,7,07_100億未満
1662,石油資源開発,東P,442298,4422.98,0,4,04_1000億以上_5000億未満
1663,K&Oエナジーグループ,東P,115328,1153.28,0,4,04_1000億以上_5000億未満
166A,タスキHLDG,東G,58031,580.31,0,5,05_500億以上_1000億未満
167A,リョーサン菱洋HLDG,東P,140950,1409.5,0,4,04_1000億以上_5000億未満
168A,イタミアート,東G,1670,16.7,0,7,07_100億未満
1711,SDSHLDG,東S,2243,22.43,0,7,07_100億未満
1716,第一カッター興業,東S,16788,167.88,0,6,06_100億以上_500億未満
1717,明豊ファシリティワークス,東S,11281,112.81,0,6,06_100億以上_500億未満
1718,美樹工業,東S,8107,81.07,0,7,07_100億未満
1719,安藤･間,東P,311266,3112.66,0,4,04_1000億以上_5000億未満
1720,東急建設,東P,118718,1187.18,0,4,04_1000億以上_5000億未満
1721,コムシスHLDG,東P,633424,6334.24,1,3,03_5000億以上_1兆未満
1723,日本電技,東S,144997,1449.97,0,4,04_1000億以上_5000億未満
1724,シンクレイヤ,東S,3297,32.97,0,7,07_100億未満
1736,オーテック,東S,39262,392.62,0,6,06_100億以上_500億未満
173A,ハンモック,東G,5834,58.34,0,7,07_100億未満
1758,太洋基礎工業,東S,6122,61.22,0,7,07_100億未満
175A,Will Smart,東G,1343,13.43,0,7,07_100億未満
1762,高松コンストラクショングループ,東P,115772,1157.72,0,4,04_1000億以上_5000億未満
1764,工藤建設,東S,3882,38.82,0,7,07_100億未満
1766,東建コーポレーション,東P,161664,1616.64,0,4,04_1000億以上_5000億未満
1768,ソネック,東S,7515,75.15,0,7,07_100億未満
1770,藤田エンジニアリング,東S,17809,178.09,0,6,06_100億以上_500億未満
1773,ワイ･ティー･エル,東P,946284,9462.84,1,3,03_5000億以上_1兆未満
177A,コージンバイオ,東G,5234,52.34,0,7,07_100億未満
1780,ヤマウラ,東P,28258,282.58,0,6,06_100億以上_500億未満
1783,fantasista,東S,10439,104.39,0,6,06_100億以上_500億未満
1786,オリエンタル白石,東P,44419,444.19,0,6,06_100億以上_500億未満
1787,ナカボーテック,東S,13507,135.07,0,6,06_100億以上_500億未満
1788,三東工業社,東S,3087,30.87,0,7,07_100億未満
1793,大本組,東S,49516,495.16,0,6,06_100億以上_500億未満
1795,マサル,東S,4312,43.12,0,7,07_100億未満
1798,守谷商会,東S,11356,113.56,0,6,06_100億以上_500億未満
1799,第一建設工業,東S,67060,670.6,0,5,05_500億以上_1000億未満
1801,大成建設,東P,2130392,21303.92,2,2,02_1兆以上_10兆未満
1802,大林組,東P,2135621,21356.21,2,2,02_1兆以上_10兆未満
1803,清水建設,東P,1765206,17652.06,2,2,02_1兆以上_10兆未満
1807,佐藤渡辺,東S,11792,117.92,0,6,06_100億以上_500億未満
1808,長谷工コーポレーション,東P,768198,7681.98,1,3,03_5000億以上_1兆未満
1810,松井建設,東S,39907,399.07,0,6,06_100億以上_500億未満
1811,錢高組,東S,56252,562.52,0,5,05_500億以上_1000億未満
1812,鹿島建設,東P,2883818,28838.18,3,2,02_1兆以上_10兆未満
1813,不動テトラ,東P,43681,436.81,0,6,06_100億以上_500億未満
1814,大末建設,東P,32957,329.57,0,6,06_100億以上_500億未満
1815,鉄建建設,東P,62666,626.66,0,5,05_500億以上_1000億未満
1820,西松建設,東P,219113,2191.13,0,4,04_1000億以上_5000億未満
1822,大豊建設,東S,64002,640.02,0,5,05_500億以上_1000億未満
1826,佐田建設,東S,13052,130.52,0,6,06_100億以上_500億未満
1827,ナカノフドー建設,東S,40639,406.39,0,6,06_100億以上_500億未満
1828,田辺工業,東S,23988,239.88,0,6,06_100億以上_500億未満
1833,奥村組,東P,211885,2118.85,0,4,04_1000億以上_5000億未満
1835,東鉄工業,東P,145302,1453.02,0,4,04_1000億以上_5000億未満
1840,土屋HLDG,東S,5903,59.03,0,7,07_100億未満
1844,大盛工業,東S,9349,93.49,0,7,07_100億未満
1847,イチケン,東S,36597,365.97,0,6,06_100億以上_500億未満
1848,富士ピー･エス,東S,11106,111.06,0,6,06_100億以上_500億未満
184A,学ビエイド,東G,1137,11.37,0,7,07_100億未満
1850,南海辰村建設,東S,11181,111.81,0,6,06_100億以上_500億未満
1852,淺沼組,東P,62690,626.9,0,5,05_500億以上_1000億未満
1853,森組,東S,10201,102.01,0,6,06_100億以上_500億未満
1860,戸田建設,東P,489252,4892.52,0,4,04_1000億以上_5000億未満
1861,熊谷組,東P,233742,2337.42,0,4,04_1000億以上_5000億未満
1866,北野建設,東S,25069,250.69,0,6,06_100億以上_500億未満
1867,植木組,東S,15816,158.16,0,6,06_100億以上_500億未満
186A,アストロスケールHLDG,東G,265695,2656.95,0,4,04_1000億以上_5000億未満
1870,矢作建設工業,東P,80115,801.15,0,5,05_500億以上_1000億未満
1871,ピーエス･コンストラクション,東P,98818,988.18,0,5,05_500億以上_1000億未満
1873,日本ハウスHLDG,東P,11600,116,0,6,06_100億以上_500億未満
1878,大東建託,東P,1006562,10065.62,1,2,02_1兆以上_10兆未満
1879,新日本建設,東P,134196,1341.96,0,4,04_1000億以上_5000億未満
1882,東亜道路工業,東P,74735,747.35,0,5,05_500億以上_1000億未満
1885,東亜建設工業,東P,189858,1898.58,0,4,04_1000億以上_5000億未満
1887,日本国土開発,東P,46145,461.45,0,6,06_100億以上_500億未満
1888,若築建設,東P,42655,426.55,0,6,06_100億以上_500億未満
1893,五洋建設,東P,460053,4600.53,0,4,04_1000億以上_5000億未満
1897,金下建設,東S,11915,119.15,0,6,06_100億以上_500億未満
1898,世紀東急工業,東P,52207,522.07,0,5,05_500億以上_1000億未満
1899,福田組,東P,64714,647.14,0,5,05_500億以上_1000億未満
189A,D&Mカンパニー,東G,2097,20.97,0,7,07_100億未満
1904,大成温調,東S,33690,336.9,0,6,06_100億以上_500億未満
1905,テノックス,東S,10816,108.16,0,6,06_100億以上_500億未満
1909,日本ドライケミカル,東S,107153,1071.53,0,4,04_1000億以上_5000億未満
190A,Chordia Therape,東G,7649,76.49,0,7,07_100億未満
1911,住友林業,東P,794239,7942.39,1,3,03_5000億以上_1兆未満
1914,日本基礎技術,東S,19222,192.22,0,6,06_100億以上_500億未満
1921,巴コーポレーション,東S,58440,584.4,0,5,05_500億以上_1000億未満
1925,大和ハウス工業,東P,2788282,27882.82,3,2,02_1兆以上_10兆未満
1926,ライト工業,東P,172956,1729.56,0,4,04_1000億以上_5000億未満
1928,積水ハウス,東P,2146323,21463.23,2,2,02_1兆以上_10兆未満
1929,日特建設,東P,45702,457.02,0,6,06_100億以上_500億未満
192A,インテグループ,東G,2962,29.62,0,7,07_100億未満
1930,北陸電気工事,東P,46504,465.04,0,6,06_100億以上_500億未満
1934,ユアテック,東P,160178,1601.78,0,4,04_1000億以上_5000億未満
1938,日本リーテック,東P,69400,694,0,5,05_500億以上_1000億未満
1939,四電工,東P,88365,883.65,0,5,05_500億以上_1000億未満
1941,中電工,東P,280807,2808.07,0,4,04_1000億以上_5000億未満
1942,関電工,東P,1187798,11877.98,1,2,02_1兆以上_10兆未満
1944,キンデン,東P,1312299,13122.99,1,2,02_1兆以上_10兆未満
1945,東京エネシス,東P,74089,740.89,0,5,05_500億以上_1000億未満
1946,トーエネック,東P,197166,1971.66,0,4,04_1000億以上_5000億未満
1948,弘電社,東S,102976,1029.76,0,4,04_1000億以上_5000億未満
194A,WOLVES HAND,東G,9585,95.85,0,7,07_100億未満
1950,日本電設工業,東P,263995,2639.95,0,4,04_1000億以上_5000億未満
1951,エクシオグループ,東P,574619,5746.19,1,3,03_5000億以上_1兆未満
1952,新日本空調,東P,156135,1561.35,0,4,04_1000億以上_5000億未満
1959,クラフティア,東P,611423,6114.23,1,3,03_5000億以上_1兆未満
195A,MUSCAT GROUP,東G,2290,22.9,0,7,07_100億未満
1960,サンテック,東S,22320,223.2,0,6,06_100億以上_500億未満
1961,三機工業,東P,362696,3626.96,0,4,04_1000億以上_5000億未満
1963,日揮HLDG,東P,634429,6344.29,1,3,03_5000億以上_1兆未満
1964,中外炉工業,東P,31707,317.07,0,6,06_100億以上_500億未満
1965,テクノ菱和,東S,123763,1237.63,0,4,04_1000億以上_5000億未満
1966,高田工業所,東S,11735,117.35,0,6,06_100億以上_500億未満
1967,ヤマト,東S,49727,497.27,0,6,06_100億以上_500億未満
1968,太平電業,東P,167228,1672.28,0,4,04_1000億以上_5000億未満
1969,高砂熱学工業,東P,638476,6384.76,1,3,03_5000億以上_1兆未満
196A,MFS,東G,2927,29.27,0,7,07_100億未満
1972,三晃金属工業,東S,23522,235.22,0,6,06_100億以上_500億未満
1975,朝日工業社,東P,103088,1030.88,0,4,04_1000億以上_5000億未満
1976,明星工業,東P,91880,918.8,0,5,05_500億以上_1000億未満
1979,大氣社,東P,277655,2776.55,0,4,04_1000億以上_5000億未満
197A,タウンズ,東S,52101,521.01,0,5,05_500億以上_1000億未満
1980,ダイダン,東P,329560,3295.6,0,4,04_1000億以上_5000億未満
1981,協和日成,東S,13455,134.55,0,6,06_100億以上_500億未満
1982,日比谷総合設備,東P,128656,1286.56,0,4,04_1000億以上_5000億未満
198A,PostPrime,東G,1466,14.66,0,7,07_100億未満
1992,神田通信機,東S,7235,72.35,0,7,07_100億未満
1994,高橋カーテンウォール工業,東S,5321,53.21,0,7,07_100億未満
1997,暁飯島工業,東S,8096,80.96,0,7,07_100億未満
2001,ニップン,東P,219782,2197.82,0,4,04_1000億以上_5000億未満
2002,日清製粉グループ本社,東P,535025,5350.25,1,3,03_5000億以上_1兆未満
2003,日東富士製粉,東S,62014,620.14,0,5,05_500億以上_1000億未満
2004,昭和産業,東P,103936,1039.36,0,4,04_1000億以上_5000億未満
2009,鳥越製粉,東S,27911,279.11,0,6,06_100億以上_500億未満
2053,中部飼料,東P,51298,512.98,0,5,05_500億以上_1000億未満
2055,日和産業,東S,6645,66.45,0,7,07_100億未満
205A,ロゴスHLDG,東G,6243,62.43,0,7,07_100億未満
2060,フィード･ワン,東P,44018,440.18,0,6,06_100億以上_500億未満
206A,PRISM BioLab,東G,5212,52.12,0,7,07_100億未満
208A,構造計画研究所HLDG,東S,31900,319,0,6,06_100億以上_500億未満
2108,日本甜菜製糖,東P,52635,526.35,0,5,05_500億以上_1000億未満
2109,DM三井製糖,東P,101002,1010.02,0,4,04_1000億以上_5000億未満
2112,塩水港精糖,東S,14525,145.25,0,6,06_100億以上_500億未満
2114,フジ日本,東S,31325,313.25,0,6,06_100億以上_500億未満
2117,ウェルネオシュガー,東P,82361,823.61,0,5,05_500億以上_1000億未満
211A,カドス,東S,3336,33.36,0,7,07_100億未満
2120,LIFULL,東P,25033,250.33,0,6,06_100億以上_500億未満
2121,MIXI,東P,181949,1819.49,0,4,04_1000億以上_5000億未満
2122,インタースペース,東S,8751,87.51,0,7,07_100億未満
2124,ジェイエイシーリクルートメント,東P,140558,1405.58,0,4,04_1000億以上_5000億未満
2127,日本M&AセンターHLDG,東P,210247,2102.47,0,4,04_1000億以上_5000億未満
212A,フィットイージー,東P,35993,359.93,0,6,06_100億以上_500億未満
2130,メンバーズ,東P,12725,127.25,0,6,06_100億以上_500億未満
2134,北浜キャピタルパートナーズ,東S,13692,136.92,0,6,06_100億以上_500億未満
2136,ヒップ,東S,5466,54.66,0,7,07_100億未満
2138,クルーズ,東S,6168,61.68,0,7,07_100億未満
2139,中広,東S,3416,34.16,0,7,07_100億未満
2146,UTグループ,東P,105810,1058.1,0,4,04_1000億以上_5000億未満
2148,アイティメディア,東P,23744,237.44,0,6,06_100億以上_500億未満
2152,幼児活動研究会,東S,17629,176.29,0,6,06_100億以上_500億未満
2153,E･J HLDG,東P,28524,285.24,0,6,06_100億以上_500億未満
2154,オープンアップグループ,東P,167931,1679.31,0,4,04_1000億以上_5000億未満
2156,セーラー広告,東S,1617,16.17,0,7,07_100億未満
2157,コシダカHLDG,東P,77572,775.72,0,5,05_500億以上_1000億未満
2158,FRONTEO,東G,22583,225.83,0,6,06_100億以上_500億未満
215A,タイミー,東G,104068,1040.68,0,4,04_1000億以上_5000億未満
2160,ジーエヌアイグループ,東G,149840,1498.4,0,4,04_1000億以上_5000億未満
2162,nms HLDG,東S,11627,116.27,0,6,06_100億以上_500億未満
2163,アルトナー,東P,20129,201.29,0,6,06_100億以上_500億未満
2164,地域新聞社,東S,2431,24.31,0,7,07_100億未満
2168,パソナグループ,東P,60084,600.84,0,5,05_500億以上_1000億未満
2169,CDS,東S,12152,121.52,0,6,06_100億以上_500億未満
2170,リンクアンドモチベーション,東P,61348,613.48,0,5,05_500億以上_1000億未満
2173,博展,東G,10640,106.4,0,6,06_100億以上_500億未満
2175,エス･エム･エス,東P,175211,1752.11,0,4,04_1000億以上_5000億未満
2179,成学社,東S,4489,44.89,0,7,07_100億未満
2180,サニーサイドアップグループ,東S,20015,200.15,0,6,06_100億以上_500億未満
2181,パーソルHLDG,東P,537256,5372.56,1,3,03_5000億以上_1兆未満
2183,リニカル,東S,5294,52.94,0,7,07_100億未満
2185,シイエム･シイ,東S,25999,259.99,0,6,06_100億以上_500億未満
2186,ソーバル,東S,7343,73.43,0,7,07_100億未満
218A,Liberaware,東G,22250,222.5,0,6,06_100億以上_500億未満
2193,クックパッド,東S,9457,94.57,0,7,07_100億未満
2195,アミタHLDG,東G,6584,65.84,0,7,07_100億未満
2198,アイ･ケイ･ケイHLDG,東P,23666,236.66,0,6,06_100億以上_500億未満
219A,Heartseed,東G,35798,357.98,0,6,06_100億以上_500億未満
2201,森永製菓,東P,209897,2098.97,0,4,04_1000億以上_5000億未満
2204,中村屋,東S,18227,182.27,0,6,06_100億以上_500億未満
2206,江崎グリコ,東P,358022,3580.22,0,4,04_1000億以上_5000億未満
2207,meito,東P,48490,484.9,0,6,06_100億以上_500億未満
2208,ブルボン,東S,79222,792.22,0,5,05_500億以上_1000億未満
2209,井村屋グループ,東P,28777,287.77,0,6,06_100億以上_500億未満
220A,Faber Company,東S,2751,27.51,0,7,07_100億未満
2211,不二家,東P,58480,584.8,0,5,05_500億以上_1000億未満
2212,山崎製パン,東P,665254,6652.54,1,3,03_5000億以上_1兆未満
2215,第一屋製パン,東S,4179,41.79,0,7,07_100億未満
2216,カンロ,東S,48106,481.06,0,6,06_100億以上_500億未満
2217,モロゾフ,東P,30025,300.25,0,6,06_100億以上_500億未満
2220,亀田製菓,東P,79811,798.11,0,5,05_500億以上_1000億未満
2221,岩塚製菓,東S,36210,362.1,0,6,06_100億以上_500億未満
2222,寿スピリッツ,東P,332175,3321.75,0,4,04_1000億以上_5000億未満
2224,コモ,東S,12796,127.96,0,6,06_100億以上_500億未満
2226,湖池屋,東S,49722,497.22,0,6,06_100億以上_500億未満
2229,カルビー,東P,379423,3794.23,0,4,04_1000億以上_5000億未満
2264,森永乳業,東P,418748,4187.48,0,4,04_1000億以上_5000億未満
2266,六甲バター,東P,22010,220.1,0,6,06_100億以上_500億未満
2267,ヤクルト本社,東P,827592,8275.92,1,3,03_5000億以上_1兆未満
2268,BーR サーティワン アイス,東S,39591,395.91,0,6,06_100億以上_500億未満
2269,明治HLDG,東P,1035392,10353.92,1,2,02_1兆以上_10兆未満
2270,雪印メグミルク,東P,220232,2202.32,0,4,04_1000億以上_5000億未満
2281,プリマハム,東P,115600,1156,0,4,04_1000億以上_5000億未満
2282,日本ハム,東P,550014,5500.14,1,3,03_5000億以上_1兆未満
2286,林兼産業,東S,7440,74.4,0,7,07_100億未満
2288,丸大食品,東P,57014,570.14,0,5,05_500億以上_1000億未満
228A,オプロ,東G,4338,43.38,0,7,07_100億未満
2291,福留ハム,東S,1707,17.07,0,7,07_100億未満
2292,S FOODS,東P,83089,830.89,0,5,05_500億以上_1000億未満
2293,滝沢ハム,東S,5503,55.03,0,7,07_100億未満
2294,柿安本店,東P,31266,312.66,0,6,06_100億以上_500億未満
2296,伊藤ハム米久HLDG,東P,268390,2683.9,0,4,04_1000億以上_5000億未満
2300,キョクトウ,東S,2748,27.48,0,7,07_100億未満
2301,学情,東P,24102,241.02,0,6,06_100億以上_500億未満
2303,ドーン,東S,8283,82.83,0,7,07_100億未満
2304,CSS HLDG,東S,4820,48.2,0,7,07_100億未満
2305,スタジオアリス,東S,30522,305.22,0,6,06_100億以上_500億未満
2307,クロスキャット,東P,15628,156.28,0,6,06_100億以上_500億未満
2311,エプコ,東S,7173,71.73,0,7,07_100億未満
2315,CAICA DIGITAL,東S,10684,106.84,0,6,06_100億以上_500億未満
2317,システナ,東P,177166,1771.66,0,4,04_1000億以上_5000億未満
2321,ソフトフロントHLDG,東G,7642,76.42,0,7,07_100億未満
2323,fonfun,東S,7708,77.08,0,7,07_100億未満
2325,NJS,東P,47929,479.29,0,6,06_100億以上_500億未満
2326,デジタルアーツ,東P,52221,522.21,0,5,05_500億以上_1000億未満
2327,日鉄ソリューションズ,東P,628246,6282.46,1,3,03_5000億以上_1兆未満
2329,東北新社,東S,73748,737.48,0,5,05_500億以上_1000億未満
2330,フォーサイド,東S,3146,31.46,0,7,07_100億未満
2331,ALSOK,東P,543108,5431.08,1,3,03_5000億以上_1兆未満
2332,クエスト,東S,10081,100.81,0,6,06_100億以上_500億未満
2334,イオレ,東G,27242,272.42,0,6,06_100億以上_500億未満
2335,キューブシステム,東P,15813,158.13,0,6,06_100億以上_500億未満
2337,イチゴ,東P,186147,1861.47,0,4,04_1000億以上_5000億未満
2338,クオンタムソリューションズ,東S,6550,65.5,0,7,07_100億未満
2340,極楽湯HLDG,東S,14973,149.73,0,6,06_100億以上_500億未満
2341,アルバイトタイムス,東S,4151,41.51,0,7,07_100億未満
2342,トランスジェニックグループ,東S,3740,37.4,0,7,07_100億未満
2345,HODL1,東S,3926,39.26,0,7,07_100億未満
2349,エヌアイデイ,東S,31371,313.71,0,6,06_100億以上_500億未満
2351,ASJ,東S,2513,25.13,0,7,07_100億未満
2353,日本駐車場開発,東P,81525,815.25,0,5,05_500億以上_1000億未満
2354,YE DIGITAL,東S,17352,173.52,0,6,06_100億以上_500億未満
2359,コア,東P,30263,302.63,0,6,06_100億以上_500億未満
2370,メディネット,東G,7838,78.38,0,7,07_100億未満
2371,カカクコム,東P,660265,6602.65,1,3,03_5000億以上_1兆未満
2373,ケア21,東S,6190,61.9,0,7,07_100億未満
2375,ギグワークス,東S,4691,46.91,0,7,07_100億未満
2376,サイネックス,東S,5118,51.18,0,7,07_100億未満
2378,ルネサンス,東P,20802,208.02,0,6,06_100億以上_500億未満
2379,ディップ,東P,104463,1044.63,0,4,04_1000億以上_5000億未満
2384,SBS HLDG,東P,181314,1813.14,0,4,04_1000億以上_5000億未満
2385,総医研HLDG,東G,6435,64.35,0,7,07_100億未満
2388,ウェッジHLDG,東G,1700,17,0,7,07_100億未満
2391,プラネット,東S,7847,78.47,0,7,07_100億未満
2393,日本ケアサプライ,東S,41357,413.57,0,6,06_100億以上_500億未満
2395,新日本科学,東P,45463,454.63,0,6,06_100億以上_500億未満
2404,鉄人化HLDG,東S,7959,79.59,0,7,07_100億未満
2408,KG情報,東S,6481,64.81,0,7,07_100億未満
2410,キャリアデザインセンター,東P,13970,139.7,0,6,06_100億以上_500億未満
2411,ゲンダイエージェンシー,東S,5400,54,0,7,07_100億未満
2413,エムスリー,東P,1049247,10492.47,1,2,02_1兆以上_10兆未満
2415,ヒューマンHLDG,東S,15754,157.54,0,6,06_100億以上_500億未満
2418,ツカダ･グローバルHLDG,東S,27369,273.69,0,6,06_100億以上_500億未満
241A,ROXX,東G,4115,41.15,0,7,07_100億未満
2424,ブラス,東S,3391,33.91,0,7,07_100億未満
2425,ケアサービス,東S,2738,27.38,0,7,07_100億未満
2428,ウェルネット,東S,11659,116.59,0,6,06_100億以上_500億未満
2429,ワールドHLDG,東P,41287,412.87,0,6,06_100億以上_500億未満
2432,ディー･エヌ･エー,東P,321487,3214.87,0,4,04_1000億以上_5000億未満
2433,博報堂DY HLDG,東P,408663,4086.63,0,4,04_1000億以上_5000億未満
2435,シダー,東S,2353,23.53,0,7,07_100億未満
2436,共同ピーアール,東S,9062,90.62,0,7,07_100億未満
2437,Shinwa Wise HLD,東S,4374,43.74,0,7,07_100億未満
2438,アスカネット,東G,6112,61.12,0,7,07_100億未満
2440,グルナビ,東S,7056,70.56,0,7,07_100億未満
2445,タカミヤ,東S,17470,174.7,0,6,06_100億以上_500億未満
2449,プラップジャパン,東S,4871,48.71,0,7,07_100億未満
244A,グロースエクスパートナーズ,東G,3949,39.49,0,7,07_100億未満
2454,オールアバウト,東S,5064,50.64,0,7,07_100億未満
2459,アウンコンサルティング,東S,1388,13.88,0,7,07_100億未満
245A,INGS,東G,5875,58.75,0,7,07_100億未満
2461,ファンコミュニケーションズ,東P,27187,271.87,0,6,06_100億以上_500億未満
2462,ライク,東P,28569,285.69,0,6,06_100億以上_500億未満
2464,Aoba−BBT,東S,4479,44.79,0,7,07_100億未満
2469,ヒビノ,東S,27050,270.5,0,6,06_100億以上_500億未満
246A,アスア,東G,2820,28.2,0,7,07_100億未満
2471,エスプール,東P,18883,188.83,0,6,06_100億以上_500億未満
2475,WDB HLDG,東P,34864,348.64,0,6,06_100億以上_500億未満
2477,手間イラズ,東S,13701,137.01,0,6,06_100億以上_500億未満
2479,ジェイテック,東S,2023,20.23,0,7,07_100億未満
247A,Aiロボティクス,東G,43516,435.16,0,6,06_100億以上_500億未満
2480,システム･ロケーション,東S,6055,60.55,0,7,07_100億未満
2481,タウンニュース社,東S,3602,36.02,0,7,07_100億未満
2483,翻訳センター,東S,7018,70.18,0,7,07_100億未満
2484,出前館,東S,13373,133.73,0,6,06_100億以上_500億未満
2485,ティア,東S,10107,101.07,0,6,06_100億以上_500億未満
2488,JTP,東S,8037,80.37,0,7,07_100億未満
2489,アドウェイズ,東S,11132,111.32,0,6,06_100億以上_500億未満
248A,キッズスター,東G,2275,22.75,0,7,07_100億未満
2491,バリューコマース,東P,15822,158.22,0,6,06_100億以上_500億未満
2492,インフォマート,東P,98443,984.43,0,5,05_500億以上_1000億未満
2493,イーサポートリンク,東S,3987,39.87,0,7,07_100億未満
2497,ユナイテッド,東G,19802,198.02,0,6,06_100億以上_500億未満
2498,オリエンタルコンサルタンツHD,東S,35843,358.43,0,6,06_100億以上_500億未満
2499,日本和装HLDG,東S,2548,25.48,0,7,07_100億未満
2501,サッポロHLDG,東P,623460,6234.6,1,3,03_5000億以上_1兆未満
2502,アサヒグループHLDG,東P,2263263,22632.63,2,2,02_1兆以上_10兆未満
2503,キリンHLDG,東P,2144040,21440.4,2,2,02_1兆以上_10兆未満
250A,シマダヤ,東S,23265,232.65,0,6,06_100億以上_500億未満
2531,宝HLDG,東P,430404,4304.04,0,4,04_1000億以上_5000億未満
2533,オエノンHLDG,東P,31088,310.88,0,6,06_100億以上_500億未満
253A,ETSグループ,東S,6554,65.54,0,7,07_100億未満
2540,養命酒製造,東P,66248,662.48,0,5,05_500億以上_1000億未満
254A,AI フュージョンキャピタルグ,東S,9334,93.34,0,7,07_100億未満
255A,ジーエルテクノHLDG,東S,84824,848.24,0,5,05_500億以上_1000億未満
256A,飛島HLDG,東P,36318,363.18,0,6,06_100億以上_500億未満
2573,北海道コカ･コーラボトリング,東S,56813,568.13,0,5,05_500億以上_1000億未満
2579,コカ･コーラボトラーズJPHD,東P,603893,6038.93,1,3,03_5000億以上_1兆未満
2585,ライフドリンク カンパニー,東P,93145,931.45,0,5,05_500億以上_1000億未満
2586,フルッタフルッタ,東G,10760,107.6,0,6,06_100億以上_500億未満
2587,サントリービバレッジ&フード,東P,1296564,12965.64,1,2,02_1兆以上_10兆未満
2588,プレミアムウォーターHLDG,東S,73422,734.22,0,5,05_500億以上_1000億未満
2590,ダイドーグループHLDG,東P,82710,827.1,0,5,05_500億以上_1000億未満
2593,伊藤園,東P,318315,3183.15,0,4,04_1000億以上_5000億未満
